test_name,abc_finished,abc_result,abc_time,rfv_finished,rfv_result,rfv_time
VexRiscv-regch0-15-p0_zero_then_fold2.aig,True,safe,0.00,False,,
VexRiscv-regch0-20-p0_zero_then_fold2.aig,False,,,False,,
VexRiscv-regch0-30-p1_zero_then_fold2.aig,False,,,False,,
anderson.3.prop1-back-serstep_zero_then_fold2.aig,True,not safe,0.04,True,not safe,0.12275205
arbitrated_top_n2_w128_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n2_w128_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n2_w64_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n2_w8_d128_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n2_w8_d16_e0_zero_then_fold2.aig,True,not safe,20.02,False,,
arbitrated_top_n2_w8_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n2_w8_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w16_d128_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w16_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w32_d16_e0_zero_then_fold2.aig,True,not safe,166.91,False,,
arbitrated_top_n3_w64_d128_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w64_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w8_d128_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n3_w8_d16_e0_zero_then_fold2.aig,True,not safe,24.01,False,,
arbitrated_top_n4_w128_d16_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w128_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w16_d16_e0_zero_then_fold2.aig,True,not safe,388.05,False,,
arbitrated_top_n4_w16_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w16_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w32_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w64_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n4_w8_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n5_w128_d64_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n5_w128_d8_e0_zero_then_fold2.aig,True,not safe,80.84,False,,
arbitrated_top_n5_w32_d32_e0_zero_then_fold2.aig,False,,,False,,
arbitrated_top_n5_w64_d16_e0_zero_then_fold2.aig,True,not safe,503.49,False,,
arbitrated_top_n5_w8_d32_e0_zero_then_fold2.aig,False,,,False,,
at.6.prop1-back-serstep_zero_then_fold2.aig,True,not safe,41.94,False,,
blocks.4.prop1-back-serstep_zero_then_fold2.aig,True,not safe,106.87,False,,
brp2.2.prop1-func-interl_zero_then_fold2.aig,True,not safe,274.95,False,,
brp2.3.prop1-back-serstep_zero_then_fold2.aig,True,not safe,1.35,True,not safe,129.56805
brp2.6.prop3-back-serstep_zero_then_fold2.aig,False,,,False,,
buggy_ridecore_zero_then_fold2.aig,False,,,False,,
cal102_zero_then_fold2.aig,True,safe,0.73,False,,
cal106_zero_then_fold2.aig,True,safe,0.56,False,,
cal107_zero_then_fold2.aig,True,safe,0.66,False,,
cal112_zero_then_fold2.aig,True,safe,0.79,False,,
cal117_zero_then_fold2.aig,True,safe,0.61,False,,
cal118_zero_then_fold2.aig,True,safe,0.64,False,,
cal119_zero_then_fold2.aig,True,safe,0.41,False,,
cal122_zero_then_fold2.aig,True,safe,0.53,False,,
cal123_zero_then_fold2.aig,True,safe,0.25,False,,
cal125_zero_then_fold2.aig,True,safe,0.40,False,,
cal129_zero_then_fold2.aig,True,safe,0.26,False,,
cal140_zero_then_fold2.aig,True,safe,0.23,False,,
cal142_zero_then_fold2.aig,True,safe,0.30,False,,
cal143_zero_then_fold2.aig,True,safe,0.31,False,,
cal149_zero_then_fold2.aig,True,safe,0.28,False,,
cal156_zero_then_fold2.aig,False,,,False,,
cal159_zero_then_fold2.aig,True,safe,0.00,True,safe,45.61856
cal161_zero_then_fold2.aig,True,safe,0.00,True,safe,318.115
cal162_zero_then_fold2.aig,True,safe,0.00,True,safe,30.874352
cal176_zero_then_fold2.aig,True,safe,0.01,False,,
cal192_zero_then_fold2.aig,False,,,False,,
cal201_zero_then_fold2.aig,False,,,False,,
cal206_zero_then_fold2.aig,False,,,False,,
cal209_zero_then_fold2.aig,False,,,False,,
cal210_zero_then_fold2.aig,False,,,False,,
cal21_zero_then_fold2.aig,True,safe,0.00,False,,
cal220_zero_then_fold2.aig,False,,,False,,
cal224_zero_then_fold2.aig,False,,,False,,
cal227_zero_then_fold2.aig,False,,,False,,
cal234_zero_then_fold2.aig,False,,,False,,
cal2_zero_then_fold2.aig,False,,,False,,
cal33_zero_then_fold2.aig,True,safe,0.00,True,safe,5.4853935
cal34_zero_then_fold2.aig,True,safe,0.01,True,safe,186.23631
cal35_zero_then_fold2.aig,True,safe,0.00,True,safe,8.974671
cal37_zero_then_fold2.aig,True,safe,0.00,True,safe,9.74108
cal41_zero_then_fold2.aig,True,safe,0.00,True,safe,0.7168341
cal4_zero_then_fold2.aig,True,safe,0.00,True,safe,1.7142723
cal81_zero_then_fold2.aig,True,safe,0.00,False,,
cal84_zero_then_fold2.aig,True,safe,0.39,False,,
cal86_zero_then_fold2.aig,True,safe,0.48,False,,
cal87_zero_then_fold2.aig,True,safe,0.41,False,,
cal90_zero_then_fold2.aig,True,safe,0.48,False,,
cal97_zero_then_fold2.aig,True,safe,0.70,False,,
cal99_zero_then_fold2.aig,True,safe,0.61,False,,
circular_pointer_top_w128_d128_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w128_d64_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w128_d8_e0_zero_then_fold2.aig,True,not safe,194.41,False,,
circular_pointer_top_w16_d128_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w16_d32_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w16_d64_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w32_d16_e0_zero_then_fold2.aig,True,not safe,388.42,False,,
circular_pointer_top_w32_d32_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w64_d128_e0_zero_then_fold2.aig,False,,,False,,
circular_pointer_top_w64_d8_e0_zero_then_fold2.aig,True,not safe,55.33,False,,
circular_pointer_top_w8_d16_e0_zero_then_fold2.aig,True,not safe,13.94,False,,
dspfilters_fastfir_second-p04_zero_then_fold2.aig,True,safe,0.04,False,,
dspfilters_fastfir_second-p05_zero_then_fold2.aig,True,safe,0.01,False,,
dspfilters_fastfir_second-p06_zero_then_fold2.aig,True,safe,0.00,False,,
dspfilters_fastfir_second-p07_zero_then_fold2.aig,True,safe,0.01,False,,
dspfilters_fastfir_second-p09_zero_then_fold2.aig,True,safe,0.02,False,,
dspfilters_fastfir_second-p10_zero_then_fold2.aig,True,safe,0.73,False,,
dspfilters_fastfir_second-p11_zero_then_fold2.aig,True,safe,0.00,False,,
dspfilters_fastfir_second-p14_zero_then_fold2.aig,True,safe,0.04,False,,
dspfilters_fastfir_second-p16_zero_then_fold2.aig,True,safe,0.44,False,,
dspfilters_fastfir_second-p18_zero_then_fold2.aig,False,,,False,,
dspfilters_fastfir_second-p21_zero_then_fold2.aig,True,safe,0.04,False,,
dspfilters_fastfir_second-p22_zero_then_fold2.aig,True,safe,0.00,False,,
dspfilters_fastfir_second-p25_zero_then_fold2.aig,True,safe,0.90,False,,
dspfilters_fastfir_second-p26_zero_then_fold2.aig,True,safe,0.08,False,,
dspfilters_fastfir_second-p42_zero_then_fold2.aig,True,safe,1.22,False,,
dspfilters_fastfir_second-p43_zero_then_fold2.aig,False,,,False,,
dspfilters_fastfir_second-p45_zero_then_fold2.aig,False,,,False,,
elevator.4.prop1-func-interl_zero_then_fold2.aig,True,safe,0.00,True,safe,233.36908
frogs.5.prop1-func-interl_zero_then_fold2.aig,False,,,False,,
gen10_zero_then_fold2.aig,True,safe,0.00,True,safe,0.72350955
gen12_zero_then_fold2.aig,True,safe,0.00,True,safe,1.5139114
gen14_zero_then_fold2.aig,True,safe,0.00,True,safe,2.0314152
gen21_zero_then_fold2.aig,True,safe,0.00,True,safe,0.5803635
gen31_zero_then_fold2.aig,True,safe,0.01,True,safe,239.04002
gen35_zero_then_fold2.aig,True,safe,0.00,True,safe,87.21232
gen39_zero_then_fold2.aig,True,safe,0.00,True,safe,3.6848562
gen43_zero_then_fold2.aig,True,safe,0.00,True,safe,165.30652
gen44_zero_then_fold2.aig,True,safe,0.00,True,safe,185.30466
h_RCU_zero_then_fold2.aig,False,,,False,,
h_TreeArb_zero_then_fold2.aig,True,safe,0.00,True,safe,1.8837769
