ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/dspfilters_fastfir_second-p43_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 21                                                                1    21      0.14 sec
  2 : 0 33 47                                                             2    40      0.53 sec
  3 : 0 51 98 501                                                         4   262      4.79 sec
  4 : 0 51 81 793 1031                                                   23   372     14.53 sec
  5 : 0 56 98 798 587 1213                                                8   433     22.86 sec
  6 : 0 72 102 1037 768 1205 2557                                        10   544     51.24 sec
  7 : 0 89 136 1357 879 1642 1831 4472                                   16   587     99.96 sec
  8 : 0 89 117 1640 1021 1930 1910 2559 5262                             10   606    150.27 sec
  9 : 0 89 118 1822 1110 2090 1914 2578 1807 6131                        18   618    197.41 sec
 10 : 0 100 139 2060 1258 2350 2081 2731 1831 2329 7899                  13   669    281.00 sec
 11 : 0 99 138 1896 1260 2309 1980 2688 1745 2271 2114 10361             11   670    365.93 sec
 12 : 0 99 138 1713 1243 2249 1845 2472 1730 1965 1316 1597 10174        15   671    399.93 sec
 13 : ... 138 1713 1248 2328 1847 2520 1752 2020 1236 1528 1770 10720    17   687    458.64 sec
 14 : ... 1248 2314 1810 2460 1682 1906 1157 1363 1503 1237 10579         7   687    488.10 sec
 15 : ... 2314 1810 2460 1683 1910 1182 1424 1617 1393 1172 10889        11   687    527.44 sec
 16 : ... 2314 1809 2459 1684 1910 1210 1454 1708 1479 1222 735 10944    10   687    557.89 sec
 17 : ... 1809 2459 1687 1910 1221 1472 1741 1513 1259 771 605 10815     14   687    582.65 sec
 18 : ... 2459 1687 1910 1225 1494 1795 1597 1337 841 643 410 11120      11   687    615.19 sec
slurmstepd-thanos3: error: *** JOB 69675 ON thanos3 CANCELLED AT 2022-12-01T02:43:24 DUE TO TIME LIMIT ***
