ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2018D/ponylink-slaveTXlen-unsat_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     2      0.01 sec
  2 : 0 6 3                                                               6    10      0.01 sec
  3 : 0 1 1 5                                                             0    10      0.02 sec
  4 : 0 1 1 1 4                                                           0    10      0.02 sec
  5 : 0 1 1 1 1 3                                                         0    10      0.02 sec
  6 : 0 1 1 1 1 1 2                                                       0    10      0.02 sec
  7 : 0 7 2 2 2 2 2 6                                                    12    20      0.02 sec
  8 : 0 1 1 1 1 1 1 1 9                                                   0    20      0.02 sec
  9 : 0 1 1 1 1 1 1 1 1 8                                                 0    20      0.02 sec
 10 : 0 1 1 1 1 1 1 1 1 1 7                                               0    20      0.02 sec
 11 : 0 1 1 1 1 1 1 1 1 1 1 6                                             0    20      0.02 sec
 12 : 0 1 1 1 1 1 1 1 1 1 1 1 5                                           0    20      0.02 sec
 13 : 0 10 3 2 2 2 2 2 2 2 2 2 2 55                                      21    84      0.12 sec
 14 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 55                                      0    84      0.12 sec
 15 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 54                                    0    84      0.13 sec
 16 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 53                                  0    84      0.13 sec
 17 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 52                                0    84      0.14 sec
 18 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 51                              0    84      0.15 sec
 19 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 50                            0    84      0.15 sec
 20 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 49                          0    84      0.16 sec
 21 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 48                        0    84      0.17 sec
 22 : 0 12 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 228                   29   143      1.79 sec
 23 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 234                   0   143      1.81 sec
 24 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 233                 0   143      1.82 sec
 25 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 232               0   143      1.83 sec
 26 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 231             0   143      1.84 sec
 27 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 230           0   143      1.85 sec
 28 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 229         0   143      1.86 sec
 29 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 228     0   143      1.87 sec
 30 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 227     0   143      1.88 sec
